,disease,inform_slots
638,Erythema multiforme,"['skin rash', 'mouth ulcer', 'skin lesion', 'difficulty in swallowing', 'fever','allergic reaction', 'pain in eye']"
639,Erythema multiforme,"['difficulty in swallowing', 'allergic reaction', 'fluid retention', 'mouth ulcer','itching of skin', 'skin rash']"
640,Erythema multiforme,"['fluid retention', 'skin lesion', 'itching of skin', 'vomiting', 'coryza','skin rash', 'fever']"
641,Erythema multiforme,"['skin rash', 'coryza', 'difficulty in swallowing', 'fever', 'vomiting', 'skin lesion','itching of skin', 'mouth ulcer']"
642,Erythema multiforme,"['allergic reaction', 'skin pain', 'itching of skin', 'vomiting', 'coryza', 'skin lesion','skin rash', 'pain in eye']"
643,Dyshidrosis,"['skin lesion', 'foot or toe lump or mass', 'skin rash', 'ankle pain','skin on leg or foot looks infected', 'back pain']"
644,Dyshidrosis,"['skin on leg or foot looks infected', 'skin lesion', 'back pain', 'itching of skin', 'skin dryness, peeling, scaliness, or roughness','skin rash', 'foot or toe lump or mass']"
645,Dyshidrosis,"['abnormal appearing skin', 'ankle pain', 'itching of skin', 'skin dryness, peeling, scaliness, or roughness','foot or toe lump or mass', 'skin rash']"
646,Dyshidrosis,"['ankle pain', 'skin rash', 'itching of skin', 'skin on leg or foot looks infected', 'foot or toe lump or mass', 'abnormal appearing skin','back pain', 'skin dryness, peeling, scaliness, or roughness']"
648,Dyshidrosis,"['itching of skin', 'dry or flaky scalp', 'back pain', 'acne or pimples', 'skin rash', 'abnormal appearing skin','skin lesion', 'skin dryness, peeling, scaliness, or roughness']"
650,Dyshidrosis,"['skin rash', 'itching of skin', 'ankle pain', 'abnormal appearing skin', 'dry or flaky scalp', 'acne or pimples','skin lesion', 'frequent urination']"
651,Dyshidrosis,"['frequent urination', 'skin rash', 'skin lesion', 'acne or pimples', 'ankle pain', 'skin on leg or foot looks infected','skin dryness, peeling, scaliness, or roughness', 'back pain']"
653,Dyshidrosis,"['skin rash', 'acne or pimples', 'abnormal appearing skin', 'skin on leg or foot looks infected', 'skin dryness, peeling, scaliness, or roughness','ankle pain', 'foot or toe lump or mass']"
654,Dyshidrosis,"['skin on leg or foot looks infected', 'ankle pain', 'frequent urination', 'acne or pimples','skin dryness, peeling, scaliness, or roughness', 'skin rash']"
655,Dyshidrosis,"['frequent urination', 'abnormal appearing skin', 'skin dryness, peeling, scaliness, or roughness', 'back pain', 'itching of skin','skin rash', 'skin lesion']"
656,Dyshidrosis,"['skin rash', 'abnormal appearing skin', 'skin on leg or foot looks infected', 'skin lesion', 'back pain', 'itching of skin','skin dryness, peeling, scaliness, or roughness', 'acne or pimples']"
657,Actinic keratosis,"['skin lesion', 'itching of skin', 'abnormal appearing skin', 'skin irritation','symptoms of the face', 'skin rash']"
658,Actinic keratosis,"['warts', 'skin lesion', 'skin rash', 'skin growth', 'skin dryness, peeling, scaliness, or roughness','abnormal appearing skin', 'itching of skin']"
659,Actinic keratosis,"['skin growth', 'skin irritation', 'skin dryness, peeling, scaliness, or roughness', 'skin lesion','itching of skin', 'abnormal appearing skin']"
660,Actinic keratosis,"['warts', 'abnormal appearing skin', 'skin dryness, peeling, scaliness, or roughness', 'skin irritation', 'skin swelling', 'skin growth','skin rash', 'skin lesion']"
663,Actinic keratosis,"['skin lesion', 'skin swelling', 'irregular appearing scalp', 'skin moles', 'abnormal appearing skin', 'skin growth','skin rash', 'skin dryness, peeling, scaliness, or roughness']"
664,Actinic keratosis,"['abnormal appearing skin', 'skin dryness, peeling, scaliness, or roughness', 'skin irritation', 'skin growth', 'skin swelling', 'skin moles','skin lesion', 'itching of skin']"
666,Actinic keratosis,"['itching of skin', 'abnormal appearing skin', 'skin lesion', 'skin moles', 'warts', 'symptoms of the face','skin dryness, peeling, scaliness, or roughness', 'irregular appearing scalp']"
667,Actinic keratosis,"['abnormal appearing skin', 'irregular appearing scalp', 'skin rash', 'symptoms of the face', 'skin lesion','warts', 'skin swelling']"
669,Actinic keratosis,"['symptoms of the face', 'warts', 'itching of skin', 'skin moles','skin dryness, peeling, scaliness, or roughness', 'abnormal appearing skin']"
670,Actinic keratosis,"['itching of skin', 'skin growth', 'skin rash', 'irregular appearing scalp', 'skin dryness, peeling, scaliness, or roughness','abnormal appearing skin', 'skin lesion']"
671,Actinic keratosis,"['abnormal appearing skin', 'skin dryness, peeling, scaliness, or roughness', 'warts', 'skin lesion', 'skin rash', 'irregular appearing scalp','skin growth', 'skin moles']"
672,Dermatitis due to sun exposure,"['skin lesion', 'skin swelling', 'abnormal appearing skin', 'itchy scalp','lack of growth', 'skin dryness, peeling, scaliness, or roughness']"
673,Dermatitis due to sun exposure,"['itchy scalp', 'skin lesion', 'skin dryness, peeling, scaliness, or roughness', 'skin moles', 'skin rash','abnormal appearing skin', 'skin swelling']"
674,Dermatitis due to sun exposure,"['skin lesion', 'symptoms of the face', 'skin rash', 'skin moles','skin swelling', 'abnormal appearing skin']"
675,Dermatitis due to sun exposure,"['symptoms of the face', 'abnormal appearing skin', 'skin moles', 'itchy scalp', 'skin growth', 'skin rash','skin dryness, peeling, scaliness, or roughness', 'skin lesion']"
676,Dermatitis due to sun exposure,"['skin lesion', 'skin growth', 'irregular appearing scalp', 'acne or pimples', 'abnormal appearing skin', 'skin moles','skin dryness, peeling, scaliness, or roughness', 'skin rash']"
677,Dermatitis due to sun exposure,"['abnormal appearing skin', 'skin rash', 'symptoms of the face', 'skin moles', 'skin growth', 'irregular appearing scalp','skin lesion', 'skin swelling']"
678,Dermatitis due to sun exposure,"['skin swelling', 'abnormal appearing skin', 'skin lesion', 'acne or pimples', 'itchy scalp', 'lack of growth','skin rash', 'irregular appearing scalp']"
679,Dermatitis due to sun exposure,"['abnormal appearing skin', 'irregular appearing scalp', 'skin dryness, peeling, scaliness, or roughness', 'lack of growth', 'skin lesion','itchy scalp', 'skin growth']"
680,Dermatitis due to sun exposure,"['lack of growth', 'itchy scalp', 'skin swelling', 'acne or pimples','skin rash', 'abnormal appearing skin']"
682,Dermatitis due to sun exposure,"['symptoms of the face', 'skin moles', 'skin dryness, peeling, scaliness, or roughness', 'irregular appearing scalp', 'skin rash','abnormal appearing skin', 'skin lesion']"
683,Dermatitis due to sun exposure,"['abnormal appearing skin', 'skin moles', 'itchy scalp', 'skin lesion', 'skin dryness, peeling, scaliness, or roughness', 'skin rash','skin growth', 'acne or pimples']"
684,Eczema,"['itching of skin', 'skin swelling', 'skin rash', 'skin irritation','warts', 'skin lesion']"
685,Eczema,"['skin irritation', 'itching of skin', 'skin lesion', 'skin dryness, peeling, scaliness, or roughness', 'abnormal appearing skin','skin rash', 'acne or pimples']"
686,Eczema,"['itching of skin', 'irregular appearing scalp', 'abnormal appearing skin', 'skin dryness, peeling, scaliness, or roughness','acne or pimples', 'skin rash']"
687,Eczema,"['irregular appearing scalp', 'skin rash', 'skin dryness, peeling, scaliness, or roughness', 'skin irritation', 'acne or pimples', 'abnormal appearing skin','skin lesion', 'itching of skin']"
688,Eczema,"['itching of skin', 'acne or pimples', 'skin lesion', 'allergic reaction', 'skin rash', 'skin dryness, peeling, scaliness, or roughness','cough', 'abnormal appearing skin']"
689,Eczema,"['skin rash', 'abnormal appearing skin', 'irregular appearing scalp', 'skin dryness, peeling, scaliness, or roughness', 'allergic reaction', 'cough','itching of skin', 'skin swelling']"
690,Eczema,"['acne or pimples', 'skin rash', 'itching of skin', 'allergic reaction', 'skin irritation', 'warts','abnormal appearing skin', 'cough']"
692,Eczema,"['skin rash', 'cough', 'skin lesion', 'warts', 'itching of skin','skin irritation', 'acne or pimples']"
694,Eczema,"['warts', 'skin irritation', 'acne or pimples', 'allergic reaction','abnormal appearing skin', 'skin rash']"
695,Eczema,"['skin swelling', 'skin dryness, peeling, scaliness, or roughness', 'cough', 'skin lesion', 'abnormal appearing skin','skin rash', 'itching of skin']"
697,Eczema,"['skin rash', 'skin dryness, peeling, scaliness, or roughness', 'skin irritation', 'itching of skin', 'skin lesion', 'abnormal appearing skin','cough', 'allergic reaction']"
699,Contact dermatitis,"['itching of skin', 'skin irritation', 'skin rash', 'diaper rash','skin moles', 'skin dryness, peeling, scaliness, or roughness']"
700,Contact dermatitis,"['diaper rash', 'skin rash', 'skin dryness, peeling, scaliness, or roughness', 'skin lesion', 'abnormal appearing skin','itching of skin', 'skin irritation']"
702,Contact dermatitis,"['abnormal appearing skin', 'swollen eye', 'itching of skin', 'skin lesion','acne or pimples', 'skin rash']"
703,Contact dermatitis,"['diaper rash', 'skin rash', 'abnormal appearing skin', 'swollen eye', 'acne or pimples', 'skin lesion','skin dryness, peeling, scaliness, or roughness', 'itching of skin']"
704,Contact dermatitis,"['skin lesion', 'acne or pimples', 'skin dryness, peeling, scaliness, or roughness', 'allergic reaction', 'skin rash', 'abnormal appearing skin','skin swelling', 'itching of skin']"
705,Contact dermatitis,"['abnormal appearing skin', 'itching of skin', 'skin irritation', 'skin lesion', 'skin swelling', 'allergic reaction','skin rash', 'swollen eye']"
706,Contact dermatitis,"['acne or pimples', 'skin rash', 'abnormal appearing skin', 'allergic reaction', 'diaper rash', 'skin moles','itching of skin', 'skin dryness, peeling, scaliness, or roughness']"
708,Contact dermatitis,"['skin rash', 'skin dryness, peeling, scaliness, or roughness', 'allergic reaction', 'skin moles', 'itching of skin','diaper rash', 'acne or pimples']"
709,Contact dermatitis,"['skin moles', 'diaper rash', 'acne or pimples', 'allergic reaction','itching of skin', 'skin rash']"
710,Contact dermatitis,"['skin irritation', 'abnormal appearing skin', 'allergic reaction', 'skin dryness, peeling, scaliness, or roughness', 'skin lesion','skin rash', 'itching of skin']"
711,Contact dermatitis,"['skin rash', 'abnormal appearing skin', 'diaper rash', 'itching of skin', 'skin dryness, peeling, scaliness, or roughness', 'skin lesion','acne or pimples', 'skin swelling']"
712,Contact dermatitis,"['swollen eye', 'allergic reaction', 'skin lesion', 'skin dryness, peeling, scaliness, or roughness', 'itching of skin', 'skin swelling','skin rash', 'acne or pimples']"
713,Diaper rash,"['fever', 'skin swelling', 'diarrhea', 'pulling at ears','skin irritation', 'skin rash']"
714,Diaper rash,"['pulling at ears', 'fever', 'skin rash', 'nasal congestion', 'cough','diarrhea', 'skin swelling']"
715,Diaper rash,"['fever', 'infant spitting up', 'cough', 'nasal congestion','suprapubic pain', 'diarrhea']"
716,Diaper rash,"['infant spitting up', 'diarrhea', 'nasal congestion', 'pulling at ears', 'suprapubic pain', 'cough','skin rash', 'fever']"
717,Diaper rash,"['skin rash', 'suprapubic pain', 'fever', 'itching of skin', 'diarrhea', 'nasal congestion','irritable infant', 'cough']"
718,Diaper rash,"['diarrhea', 'cough', 'infant spitting up', 'nasal congestion', 'itching of skin', 'irritable infant','fever', 'skin swelling']"
719,Diaper rash,"['skin swelling', 'diarrhea', 'fever', 'itching of skin', 'pulling at ears', 'skin irritation','cough', 'skin rash']"
720,Diaper rash,"['diarrhea', 'irritable infant', 'skin rash', 'skin irritation', 'fever','pulling at ears', 'suprapubic pain']"
721,Diaper rash,"['skin irritation', 'pulling at ears', 'skin swelling', 'itching of skin','cough', 'diarrhea']"
723,Diaper rash,"['infant spitting up', 'nasal congestion', 'itching of skin', 'skin rash', 'cough','diarrhea', 'fever']"
724,Diaper rash,"['diarrhea', 'nasal congestion', 'pulling at ears', 'fever', 'skin rash', 'cough','suprapubic pain', 'itching of skin']"
725,Acne,"['skin rash', 'skin dryness, peeling, scaliness, or roughness', 'acne or pimples', 'irregular appearing scalp','long menstrual periods', 'skin swelling']"
726,Acne,"['nose deformity', 'acne or pimples', 'skin swelling', 'skin moles', 'abnormal appearing skin','skin rash', 'skin dryness, peeling, scaliness, or roughness']"
727,Acne,"['abnormal appearing skin', 'irregular appearing scalp', 'skin rash', 'skin moles','skin dryness, peeling, scaliness, or roughness', 'acne or pimples']"
728,Acne,"['nose deformity', 'acne or pimples', 'skin rash', 'irregular appearing scalp', 'warts', 'skin moles','skin swelling', 'abnormal appearing skin']"
729,Acne,"['acne or pimples', 'skin dryness, peeling, scaliness, or roughness', 'skin growth', 'warts', 'skin moles', 'abnormal appearing skin','skin swelling', 'skin rash']"
730,Acne,"['skin moles', 'skin rash', 'skin dryness, peeling, scaliness, or roughness', 'abnormal appearing skin', 'warts', 'skin swelling','acne or pimples', 'irregular appearing scalp']"
732,Acne,"['skin dryness, peeling, scaliness, or roughness', 'acne or pimples', 'abnormal appearing skin', 'skin growth', 'nose deformity', 'long menstrual periods','skin rash', 'skin swelling']"
733,Acne,"['acne or pimples', 'skin swelling', 'skin growth', 'long menstrual periods', 'skin rash','nose deformity', 'warts']"
734,Acne,"['long menstrual periods', 'nose deformity', 'skin dryness, peeling, scaliness, or roughness', 'skin growth','skin rash', 'acne or pimples']"
735,Acne,"['too little hair', 'skin rash', 'skin growth', 'skin swelling', 'skin moles','acne or pimples', 'abnormal appearing skin']"
736,Acne,"['acne or pimples', 'abnormal appearing skin', 'nose deformity', 'skin rash', 'skin swelling', 'skin moles','skin growth', 'warts']"
737,Acanthosis nigricans,"['skin lesion', 'unwanted hair', 'weight gain', 'apnea','warts', 'skin growth']"
738,Acanthosis nigricans,"['warts', 'weight gain', 'skin growth', 'acne or pimples', 'allergic reaction','skin lesion', 'fluid retention']"
739,Acanthosis nigricans,"['infertility', 'apnea', 'skin lesion', 'acne or pimples','fluid retention', 'weight gain']"
741,Acanthosis nigricans,"['apnea', 'weight gain', 'allergic reaction', 'warts', 'unwanted hair', 'acne or pimples','infertility', 'skin lesion']"
742,Acanthosis nigricans,"['acne or pimples', 'skin growth', 'infertility', 'pain or soreness of breast', 'weight gain', 'allergic reaction','skin moles', 'skin lesion']"
743,Acanthosis nigricans,"['skin lesion', 'allergic reaction', 'apnea', 'acne or pimples', 'skin moles', 'pain or soreness of breast','weight gain', 'fluid retention']"
745,Acanthosis nigricans,"['fluid retention', 'weight gain', 'allergic reaction', 'skin moles', 'apnea', 'warts','skin lesion', 'skin growth']"
746,Acanthosis nigricans,"['weight gain', 'pain or soreness of breast', 'infertility', 'warts', 'skin lesion','apnea', 'fluid retention']"
747,Acanthosis nigricans,"['warts', 'apnea', 'fluid retention', 'skin moles','skin lesion', 'weight gain']"
748,Acanthosis nigricans,"['fluid retention', 'allergic reaction', 'acne or pimples', 'skin growth', 'infertility','weight gain', 'skin lesion']"
749,Acanthosis nigricans,"['weight gain', 'acne or pimples', 'warts', 'skin lesion', 'skin growth', 'infertility','skin moles', 'pain or soreness of breast']"
750,Acanthosis nigricans,"['apnea', 'pain or soreness of breast', 'infertility', 'skin moles', 'skin lesion', 'skin growth','weight gain', 'fluid retention']"
751,Decubitus ulcer,"['skin lesion', 'difficulty speaking','disturbance of smell or taste', 'skin on leg or foot looks infected']"
752,Decubitus ulcer,"['skin pain', 'skin on leg or foot looks infected', 'skin lesion','difficulty speaking']"
753,Decubitus ulcer,"['skin lesion', 'incontinence of stool','disturbance of smell or taste', 'difficulty speaking']"
754,Decubitus ulcer,"['disturbance of smell or taste', 'difficulty speaking', 'skin on leg or foot looks infected','skin lesion', 'penis redness']"
756,Decubitus ulcer,"['skin pain', 'disturbance of smell or taste', 'skin on leg or foot looks infected','difficulty speaking', 'skin lesion']"
757,Decubitus ulcer,"['skin lesion', 'skin on leg or foot looks infected', 'disturbance of smell or taste','difficulty speaking', 'incontinence of stool']"
758,Decubitus ulcer,"['skin lesion', 'difficulty speaking', 'skin pain','skin on leg or foot looks infected']"
759,Decubitus ulcer,"['skin on leg or foot looks infected', 'incontinence of stool','difficulty speaking', 'skin lesion']"
761,Decubitus ulcer,"['penis redness', 'skin lesion','skin on leg or foot looks infected', 'difficulty speaking']"
762,Decubitus ulcer,"['skin pain', 'difficulty speaking','skin lesion', 'skin on leg or foot looks infected']"
763,Decubitus ulcer,"['difficulty speaking', 'disturbance of smell or taste', 'skin on leg or foot looks infected','skin lesion', 'penis redness']"
764,Fibromyalgia,"['back pain', 'sharp chest pain', 'ache all over', 'hip pain','fatigue', 'shoulder pain']"
765,Fibromyalgia,"['hip pain', 'neck pain', 'headache', 'leg pain', 'ache all over','back pain', 'sharp chest pain']"
766,Fibromyalgia,"['muscle pain', 'hip pain', 'leg pain', 'neck pain','sharp chest pain', 'back pain']"
767,Fibromyalgia,"['hip pain', 'back pain', 'leg pain', 'fatigue', 'arm pain', 'muscle pain','headache', 'neck pain']"
769,Fibromyalgia,"['leg pain', 'neck pain', 'shoulder pain', 'low back pain', 'back pain', 'headache','ache all over', 'muscle pain']"
770,Fibromyalgia,"['back pain', 'leg pain', 'hip pain', 'headache', 'shoulder pain', 'low back pain','neck pain', 'arm pain']"
771,Fibromyalgia,"['arm pain', 'back pain', 'ache all over', 'low back pain', 'hip pain', 'fatigue','muscle pain', 'headache']"
772,Fibromyalgia,"['back pain', 'shoulder pain', 'leg pain', 'fatigue', 'neck pain','hip pain', 'sharp chest pain']"
773,Fibromyalgia,"['fatigue', 'hip pain', 'arm pain', 'low back pain','muscle pain', 'back pain']"
774,Fibromyalgia,"['arm pain', 'headache', 'neck pain', 'leg pain', 'muscle pain','back pain', 'ache all over']"
775,Fibromyalgia,"['ache all over', 'leg pain', 'hip pain', 'back pain', 'shoulder pain', 'muscle pain','low back pain', 'headache']"
776,Connective tissue disorder,"['fatigue', 'headache', 'skin rash', 'lymphedema','difficulty in swallowing', 'paresthesia']"
777,Connective tissue disorder,"['difficulty in swallowing', 'fatigue', 'paresthesia', 'fever', 'joint pain','skin rash', 'headache']"
778,Connective tissue disorder,"['fatigue', 'lymphedema', 'feeling ill', 'foot or toe pain','headache', 'joint pain']"
780,Connective tissue disorder,"['lymphedema', 'joint pain', 'feeling ill', 'difficulty in swallowing', 'headache', 'fever','paresthesia', 'fatigue']"
781,Connective tissue disorder,"['paresthesia', 'skin rash', 'ache all over', 'arm pain', 'joint pain', 'feeling ill','fatigue', 'fever']"
782,Connective tissue disorder,"['joint pain', 'feeling ill', 'lymphedema', 'paresthesia', 'fever', 'arm pain','foot or toe pain', 'headache']"
783,Connective tissue disorder,"['headache', 'joint pain', 'fatigue', 'ache all over', 'lymphedema', 'difficulty in swallowing','fever', 'feeling ill']"
784,Connective tissue disorder,"['joint pain', 'ache all over', 'feeling ill', 'difficulty in swallowing', 'fatigue','lymphedema', 'headache']"
785,Connective tissue disorder,"['difficulty in swallowing', 'lymphedema', 'headache', 'ache all over','fever', 'joint pain']"
786,Connective tissue disorder,"['headache', 'feeling ill', 'paresthesia', 'fever', 'foot or toe pain','joint pain', 'skin rash']"
788,Connective tissue disorder,"['skin rash', 'feeling ill', 'lymphedema', 'joint pain', 'paresthesia', 'foot or toe pain','ache all over', 'fever']"
789,Ganglion cyst,"['leg pain', 'knee lump or mass', 'knee pain', 'knee swelling','wrist swelling', 'hand or finger lump or mass']"
790,Ganglion cyst,"['knee swelling', 'leg pain', 'hand or finger lump or mass', 'skin growth', 'wrist pain','knee pain', 'knee lump or mass']"
791,Ganglion cyst,"['leg pain', 'knee swelling', 'skin growth', 'wrist pain','knee lump or mass', 'knee pain']"
792,Ganglion cyst,"['leg swelling', 'knee pain', 'skin growth', 'knee swelling', 'knee lump or mass', 'wrist lump or mass','hand or finger lump or mass', 'wrist pain']"
793,Ganglion cyst,"['skin growth', 'foot or toe pain', 'hand or finger lump or mass', 'hand or finger pain', 'knee pain', 'wrist lump or mass','leg pain', 'wrist pain']"
794,Ganglion cyst,"['knee pain', 'skin growth', 'leg swelling', 'wrist lump or mass', 'hand or finger lump or mass', 'hand or finger pain','wrist pain', 'knee lump or mass']"
795,Ganglion cyst,"['knee lump or mass', 'knee pain', 'leg pain', 'hand or finger pain', 'knee swelling', 'wrist swelling','wrist pain', 'hand or finger lump or mass']"
796,Ganglion cyst,"['knee pain', 'hand or finger lump or mass', 'wrist lump or mass', 'wrist swelling', 'leg pain','knee swelling', 'foot or toe pain']"
798,Ganglion cyst,"['wrist swelling', 'knee swelling', 'knee lump or mass', 'hand or finger pain','wrist pain', 'knee pain']"
799,Ganglion cyst,"['leg swelling', 'skin growth', 'wrist lump or mass', 'hand or finger lump or mass', 'wrist pain','knee pain', 'leg pain']"
800,Ganglion cyst,"['knee pain', 'skin growth', 'knee swelling', 'leg pain', 'hand or finger lump or mass', 'wrist lump or mass','foot or toe pain', 'wrist pain']"
801,Ankylosing spondylitis,"['low back pain', 'joint pain', 'back pain', 'rib pain','stiffness all over', 'leg pain']"
802,Ankylosing spondylitis,"['rib pain', 'low back pain', 'knee pain', 'leg pain', 'hip pain','back pain', 'lower body pain']"
803,Ankylosing spondylitis,"['leg pain', 'paresthesia', 'hip pain', 'low back pain','lower body pain', 'back pain']"
806,Ankylosing spondylitis,"['paresthesia', 'back pain', 'leg pain', 'rib pain', 'lower body pain', 'knee pain','hip pain', 'low back pain']"
807,Ankylosing spondylitis,"['low back pain', 'lower body pain', 'ache all over', 'elbow pain', 'back pain', 'leg pain','knee pain', 'hip pain']"
808,Ankylosing spondylitis,"['back pain', 'hip pain', 'paresthesia', 'leg pain', 'lower body pain', 'ache all over','low back pain', 'joint pain']"
809,Ankylosing spondylitis,"['lower body pain', 'back pain', 'low back pain', 'ache all over', 'rib pain', 'stiffness all over','hip pain', 'knee pain']"
811,Ankylosing spondylitis,"['back pain', 'knee pain', 'leg pain', 'stiffness all over', 'low back pain','rib pain', 'lower body pain']"
812,Ankylosing spondylitis,"['stiffness all over', 'rib pain', 'lower body pain', 'ache all over','hip pain', 'back pain']"
813,Ankylosing spondylitis,"['paresthesia', 'leg pain', 'knee pain', 'ache all over', 'hip pain','back pain', 'low back pain']"
814,Ankylosing spondylitis,"['back pain', 'hip pain', 'rib pain', 'low back pain', 'leg pain', 'ache all over','knee pain', 'elbow pain']"
815,De Quervain disease,"['hand or finger pain', 'wrist pain', 'abnormal involuntary movements','lower body pain', 'wrist swelling']"
816,De Quervain disease,"['wrist swelling', 'arm pain', 'wrist stiffness or tightness', 'hand or finger pain','wrist pain', 'lower body pain']"
817,De Quervain disease,"['shoulder pain', 'wrist pain', 'abnormal involuntary movements','hand or finger pain', 'hand or finger swelling']"
818,De Quervain disease,"['wrist stiffness or tightness', 'shoulder pain', 'hand or finger pain', 'wrist pain', 'wrist swelling','lower body pain', 'arm pain']"
819,De Quervain disease,"['hand or finger pain', 'wrist swelling', 'arm pain', 'wrist pain', 'hand or finger swelling','shoulder pain', 'abnormal involuntary movements']"
821,De Quervain disease,"['abnormal involuntary movements', 'shoulder pain', 'hand or finger pain', 'wrist swelling', 'peripheral edema','wrist pain', 'arm pain']"
823,De Quervain disease,"['abnormal involuntary movements', 'wrist pain', 'hand or finger pain', 'shoulder pain','wrist swelling', 'hand or finger swelling']"
824,De Quervain disease,"['wrist swelling', 'wrist pain', 'arm pain','hand or finger pain', 'shoulder pain']"
825,De Quervain disease,"['abnormal involuntary movements', 'wrist pain', 'hand or finger pain','arm pain', 'shoulder pain']"
826,De Quervain disease,"['hand or finger pain', 'wrist pain', 'peripheral edema', 'hand or finger swelling','wrist swelling', 'shoulder pain']"
827,De Quervain disease,"['hand or finger swelling', 'hand or finger pain', 'wrist swelling', 'shoulder pain', 'arm pain','abnormal involuntary movements', 'wrist pain']"
828,De Quervain disease,"['wrist swelling', 'shoulder pain', 'lower body pain', 'wrist pain', 'hand or finger swelling','wrist stiffness or tightness', 'hand or finger pain']"
829,Chronic back pain,"['low back pain', 'lower body pain', 'back pain', 'back cramps or spasms','leg weakness', 'neck pain']"
830,Chronic back pain,"['back cramps or spasms', 'back pain', 'hip pain', 'leg pain', 'neck pain','low back pain', 'lower body pain']"
831,Chronic back pain,"['neck pain', 'groin pain', 'leg pain', 'low back pain','lower body pain', 'back pain']"
832,Chronic back pain,"['lower body pain', 'back pain', 'leg pain', 'groin pain', 'side pain', 'low back pain','neck pain', 'hip pain']"
833,Chronic back pain,"['neck pain', 'lower body pain', 'hip pain', 'loss of sensation', 'back pain', 'leg pain','side pain', 'low back pain']"
834,Chronic back pain,"['neck pain', 'leg pain', 'lower body pain', 'low back pain', 'side pain', 'hip pain','back pain', 'groin pain']"
835,Chronic back pain,"['side pain', 'back pain', 'leg pain', 'loss of sensation', 'back stiffness or tightness', 'leg weakness','low back pain', 'hip pain']"
837,Chronic back pain,"['back pain', 'hip pain', 'neck pain', 'leg weakness', 'low back pain','back stiffness or tightness', 'side pain']"
838,Chronic back pain,"['leg weakness', 'back stiffness or tightness', 'side pain', 'loss of sensation','low back pain', 'back pain']"
839,Chronic back pain,"['lower body pain', 'leg pain', 'loss of sensation', 'hip pain', 'neck pain','back pain', 'low back pain']"
840,Chronic back pain,"['back pain', 'leg pain', 'back cramps or spasms', 'low back pain', 'neck pain', 'loss of sensation','hip pain', 'side pain']"
841,Gout,"['knee pain', 'ankle swelling', 'foot or toe pain', 'leg swelling','wrist swelling', 'wrist pain']"
842,Gout,"['leg swelling', 'knee pain', 'wrist pain', 'ankle pain', 'foot or toe swelling','foot or toe pain', 'ankle swelling']"
843,Gout,"['knee pain', 'knee swelling', 'foot or toe swelling', 'ankle pain','joint pain', 'foot or toe pain']"
844,Gout,"['knee swelling', 'foot or toe pain', 'ankle pain', 'leg swelling', 'joint pain', 'foot or toe swelling','wrist pain', 'knee pain']"
846,Gout,"['knee pain', 'joint pain', 'hand or finger pain', 'hand or finger swelling', 'foot or toe pain', 'ankle pain','wrist pain', 'foot or toe swelling']"
847,Gout,"['foot or toe pain', 'foot or toe swelling', 'knee swelling', 'ankle pain', 'hand or finger swelling', 'hand or finger pain','knee pain', 'ankle swelling']"
848,Gout,"['ankle swelling', 'foot or toe pain', 'knee pain', 'hand or finger pain', 'leg swelling', 'wrist swelling','foot or toe swelling', 'wrist pain']"
849,Gout,"['foot or toe pain', 'hand or finger pain', 'wrist pain', 'wrist swelling', 'knee pain','leg swelling', 'joint pain']"
850,Gout,"['wrist swelling', 'leg swelling', 'ankle swelling', 'hand or finger pain','foot or toe swelling', 'foot or toe pain']"
852,Gout,"['knee swelling', 'ankle pain', 'hand or finger pain', 'wrist pain', 'foot or toe swelling','foot or toe pain', 'knee pain']"
853,Gout,"['foot or toe pain', 'ankle pain', 'leg swelling', 'knee pain', 'wrist pain', 'foot or toe swelling','hand or finger pain', 'hand or finger swelling']"
854,Flat feet,"['knee pain', 'skin swelling', 'foot or toe pain', 'skin growth','retention of urine', 'feet turned in']"
858,Flat feet,"['retention of urine', 'foot or toe pain', 'feet turned in', 'problems with movement', 'ankle pain','knee pain', 'weight gain']"
859,Flat feet,"['knee pain', 'skin growth', 'ankle pain', 'problems with movement','skin swelling', 'foot or toe pain']"
860,Flat feet,"['skin growth', 'foot or toe pain', 'problems with movement', 'retention of urine', 'skin swelling', 'ankle pain','cramps and spasms', 'knee pain']"
861,Flat feet,"['knee pain', 'foot or toe stiffness or tightness', 'feet turned in', 'symptoms of eye', 'foot or toe pain', 'problems with movement','cramps and spasms', 'ankle pain']"
862,Flat feet,"['foot or toe pain', 'ankle pain', 'skin growth', 'cramps and spasms', 'foot or toe stiffness or tightness', 'symptoms of eye','knee pain', 'weight gain']"
863,Flat feet,"['weight gain', 'foot or toe pain', 'knee pain', 'foot or toe stiffness or tightness', 'skin growth', 'retention of urine','ankle pain', 'feet turned in']"
864,Flat feet,"['foot or toe pain', 'symptoms of eye', 'cramps and spasms', 'retention of urine', 'knee pain','skin growth', 'weight gain']"
865,Flat feet,"['retention of urine', 'skin growth', 'weight gain', 'foot or toe stiffness or tightness','ankle pain', 'foot or toe pain']"
866,Flat feet,"['skin growth', 'problems with movement', 'cramps and spasms', 'feet turned in', 'ankle pain','foot or toe pain', 'knee pain']"
867,Flat feet,"['foot or toe pain', 'problems with movement', 'retention of urine', 'knee pain', 'feet turned in', 'cramps and spasms','ankle pain', 'symptoms of eye']"
